X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-8.479197025299072266e-01;2.372529029846191406e+00;-1.325187180191278458e-02;2.519531250000000000e+00;4.366000000000000000e+03;1.390000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320258304e+18
-8.697667717933654785e-01;2.381248235702514648e+00;-1.334753539413213730e-02;2.535156250000000000e+00;4.379000000000000000e+03;1.400000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320265472e+18
-8.808508515357971191e-01;2.360500574111938477e+00;-1.327866781502962112e-02;2.519531250000000000e+00;4.391000000000000000e+03;1.410000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320272384e+18
-9.028172492980957031e-01;2.368915319442749023e+00;-1.337449625134468079e-02;2.535156250000000000e+00;4.366000000000000000e+03;1.420000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320279296e+18
-9.221767187118530273e-01;2.369831085205078125e+00;-1.342629827558994293e-02;2.542968750000000000e+00;4.366000000000000000e+03;1.430000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320286464e+18
-9.389385581016540527e-01;2.363240242004394531e+00;-1.343440357595682144e-02;2.542968750000000000e+00;4.404000000000000000e+03;1.440000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320293888e+18
-9.641675353050231934e-01;2.378368854522705078e+00;-1.356625929474830627e-02;2.566406250000000000e+00;4.366000000000000000e+03;1.450000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320301056e+18
-9.806960821151733398e-01;2.371601104736328125e+00;-1.357429660856723785e-02;2.566406250000000000e+00;4.340000000000000000e+03;1.460000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320308224e+18
-9.972290396690368652e-01;2.364696741104125977e+00;-1.358183287084102631e-02;2.566406250000000000e+00;4.353000000000000000e+03;1.470000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320315648e+18
-1.019824743270874023e+00;2.372057437896728516e+00;-1.366833876818418503e-02;2.582031250000000000e+00;4.353000000000000000e+03;1.480000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320323072e+18
-1.036598920822143555e+00;2.364775180816650391e+00;-1.367222331464290619e-02;2.582031250000000000e+00;4.366000000000000000e+03;1.490000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320330752e+18
-1.059395313262939453e+00;2.371773719787597656e+00;-1.375879906117916107e-02;2.597656250000000000e+00;4.200000000000000000e+03;1.500000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320338176e+18
